"MULTILINESTRING ((-67.207484186685178 1730.280661577358842,-77.348084205761552 1732.897361581912264))";3;;10;B;FAST B;Fast B;3;0;doh095;2011/09/06;0.000000000000000;0.000000000000000;0.000000000000000;2000/01/01;2020/01/01;395.338585454999986;95.919484538999995;"SRID=4326;MULTIPOLYGON(((18.1533725392703 49.8449043356131,18.1532289219731 49.8449198245886,18.1533282296858 49.8452501876138,18.1534745062245 49.8452333805877,18.1533725392703 49.8449043356131)))";"SRID=5514;MULTIPOLYGON(((-479773.020817037 -1099724.14233842,-479783.161417056 -1099721.52563842,-479772.842617044 -1099685.54223835,-479762.524317024 -1099688.32163836,-479773.020817037 -1099724.14233842)))"
"MULTILINESTRING ((-77.348084205761552 1732.897361581912264,-67.029284193529747 1768.880761651555076))";3;;37;B;FAST B;Fast B;3;0;doh095;2011/09/06;0.000000000000000;0.000000000000000;0.000000000000000;2000/01/01;2020/01/01;395.338585454999986;95.919484538999995;"SRID=4326;MULTIPOLYGON(((18.1533725392703 49.8449043356131,18.1532289219731 49.8449198245886,18.1533282296858 49.8452501876138,18.1534745062245 49.8452333805877,18.1533725392703 49.8449043356131)))";"SRID=5514;MULTIPOLYGON(((-479773.020817037 -1099724.14233842,-479783.161417056 -1099721.52563842,-479772.842617044 -1099685.54223835,-479762.524317024 -1099688.32163836,-479773.020817037 -1099724.14233842)))"
"MULTILINESTRING ((-67.029284193529747 1768.880761651555076,-56.710984173696488 1766.101361635839567))";3;;11;B;FAST B;Fast B;3;0;doh095;2011/09/06;0.000000000000000;0.000000000000000;0.000000000000000;2000/01/01;2020/01/01;395.338585454999986;95.919484538999995;"SRID=4326;MULTIPOLYGON(((18.1533725392703 49.8449043356131,18.1532289219731 49.8449198245886,18.1533282296858 49.8452501876138,18.1534745062245 49.8452333805877,18.1533725392703 49.8449043356131)))";"SRID=5514;MULTIPOLYGON(((-479773.020817037 -1099724.14233842,-479783.161417056 -1099721.52563842,-479772.842617044 -1099685.54223835,-479762.524317024 -1099688.32163836,-479773.020817037 -1099724.14233842)))"
"MULTILINESTRING ((-56.710984173696488 1766.101361635839567,-67.207484186685178 1730.280661577358842))";3;;37;B;FAST B;Fast B;3;0;doh095;2011/09/06;0.000000000000000;0.000000000000000;0.000000000000000;2000/01/01;2020/01/01;395.338585454999986;95.919484538999995;"SRID=4326;MULTIPOLYGON(((18.1533725392703 49.8449043356131,18.1532289219731 49.8449198245886,18.1533282296858 49.8452501876138,18.1534745062245 49.8452333805877,18.1533725392703 49.8449043356131)))";"SRID=5514;MULTIPOLYGON(((-479773.020817037 -1099724.14233842,-479783.161417056 -1099721.52563842,-479772.842617044 -1099685.54223835,-479762.524317024 -1099688.32163836,-479773.020817037 -1099724.14233842)))"
"MULTILINESTRING ((-97.914884253288619 1801.313661716412753,-90.532484240538906 1799.755561718950048))";4;;8;I;FAST I;FAST I;6;1;doh095;2011/09/06;0.000000000000000;0.000000000000000;0.000000000000000;2000/01/01;2020/01/01;789.216443410000011;154.581764840000005;"SRID=4326;MULTIPOLYGON(((18.1528611577605 49.8455164600543,18.1529652927481 49.8455082910013,18.1529745909629 49.8455578535387,18.1530814963456 49.8455494675136,18.1530482556741 49.845372266728,18.1528372145649 49.8453888216754,18.1528402010845 49.845404";"SRID=5514;MULTIPOLYGON(((-479803.728217103 -1099653.10933828,-479796.345817091 -1099654.66743828,-479795.199017089 -1099649.23393827,-479787.620217076 -1099650.83343829,-479791.720117079 -1099670.25983831,-479806.681417109 -1099667.10223831,-479806.31301"
"MULTILINESTRING ((-90.532484240538906 1799.755561718950048,-89.385684238979593 1805.189061728538945))";4;;6;I;FAST I;FAST I;6;1;doh095;2011/09/06;0.000000000000000;0.000000000000000;0.000000000000000;2000/01/01;2020/01/01;789.216443410000011;154.581764840000005;"SRID=4326;MULTIPOLYGON(((18.1528611577605 49.8455164600543,18.1529652927481 49.8455082910013,18.1529745909629 49.8455578535387,18.1530814963456 49.8455494675136,18.1530482556741 49.845372266728,18.1528372145649 49.8453888216754,18.1528402010845 49.845404";"SRID=5514;MULTIPOLYGON(((-479803.728217103 -1099653.10933828,-479796.345817091 -1099654.66743828,-479795.199017089 -1099649.23393827,-479787.620217076 -1099650.83343829,-479791.720117079 -1099670.25983831,-479806.681417109 -1099667.10223831,-479806.31301"
"MULTILINESTRING ((-89.385684238979593 1805.189061728538945,-81.806884225574322 1803.5895617143251))";4;;8;I;FAST I;FAST I;6;1;doh095;2011/09/06;0.000000000000000;0.000000000000000;0.000000000000000;2000/01/01;2020/01/01;789.216443410000011;154.581764840000005;"SRID=4326;MULTIPOLYGON(((18.1528611577605 49.8455164600543,18.1529652927481 49.8455082910013,18.1529745909629 49.8455578535387,18.1530814963456 49.8455494675136,18.1530482556741 49.845372266728,18.1528372145649 49.8453888216754,18.1528402010845 49.845404";"SRID=5514;MULTIPOLYGON(((-479803.728217103 -1099653.10933828,-479796.345817091 -1099654.66743828,-479795.199017089 -1099649.23393827,-479787.620217076 -1099650.83343829,-479791.720117079 -1099670.25983831,-479806.681417109 -1099667.10223831,-479806.31301"
"MULTILINESTRING ((-81.806884225574322 1803.5895617143251,-85.906784229155164 1784.163161685224622))";4;;20;I;FAST I;FAST I;6;1;doh095;2011/09/06;0.000000000000000;0.000000000000000;0.000000000000000;2000/01/01;2020/01/01;789.216443410000011;154.581764840000005;"SRID=4326;MULTIPOLYGON(((18.1528611577605 49.8455164600543,18.1529652927481 49.8455082910013,18.1529745909629 49.8455578535387,18.1530814963456 49.8455494675136,18.1530482556741 49.845372266728,18.1528372145649 49.8453888216754,18.1528402010845 49.845404";"SRID=5514;MULTIPOLYGON(((-479803.728217103 -1099653.10933828,-479796.345817091 -1099654.66743828,-479795.199017089 -1099649.23393827,-479787.620217076 -1099650.83343829,-479791.720117079 -1099670.25983831,-479806.681417109 -1099667.10223831,-479806.31301"
"MULTILINESTRING ((-85.906784229155164 1784.163161685224622,-100.86808425898198 1787.320761687122285))";4;;15;I;FAST I;FAST I;6;1;doh095;2011/09/06;0.000000000000000;0.000000000000000;0.000000000000000;2000/01/01;2020/01/01;789.216443410000011;154.581764840000005;"SRID=4326;MULTIPOLYGON(((18.1528611577605 49.8455164600543,18.1529652927481 49.8455082910013,18.1529745909629 49.8455578535387,18.1530814963456 49.8455494675136,18.1530482556741 49.845372266728,18.1528372145649 49.8453888216754,18.1528402010845 49.845404";"SRID=5514;MULTIPOLYGON(((-479803.728217103 -1099653.10933828,-479796.345817091 -1099654.66743828,-479795.199017089 -1099649.23393827,-479787.620217076 -1099650.83343829,-479791.720117079 -1099670.25983831,-479806.681417109 -1099667.10223831,-479806.31301"
"MULTILINESTRING ((-100.86808425898198 1787.320761687122285,-100.49968425813131 1789.06656169029884))";4;;2;I;FAST I;FAST I;6;1;doh095;2011/09/06;0.000000000000000;0.000000000000000;0.000000000000000;2000/01/01;2020/01/01;789.216443410000011;154.581764840000005;"SRID=4326;MULTIPOLYGON(((18.1528611577605 49.8455164600543,18.1529652927481 49.8455082910013,18.1529745909629 49.8455578535387,18.1530814963456 49.8455494675136,18.1530482556741 49.845372266728,18.1528372145649 49.8453888216754,18.1528402010845 49.845404";"SRID=5514;MULTIPOLYGON(((-479803.728217103 -1099653.10933828,-479796.345817091 -1099654.66743828,-479795.199017089 -1099649.23393827,-479787.620217076 -1099650.83343829,-479791.720117079 -1099670.25983831,-479806.681417109 -1099667.10223831,-479806.31301"
